Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,67.956,68.03,66.924,67.819,2003600,0.0,0.0
2017-01-04,68.231,69.739,68.158,69.51,3021700,0.0,0.0
2017-01-05,68.478,68.724,67.435,68.121,2829600,0.0,0.0
2017-01-06,68.03,68.03,66.997,67.051,2523100,0.0,0.0
2017-01-09,66.887,67.637,66.567,67.399,2469700,0.0,0.0
2017-01-10,67.408,68.414,67.152,67.874,2022400,0.0,0.0
2017-01-11,68.084,68.258,67.006,67.115,3764200,0.0,0.0
2017-01-12,67.051,67.71,66.978,67.271,2078100,0.0,0.0
2017-01-13,66.695,67.289,66.119,66.814,2046200,0.0,0.0
2017-01-17,67.051,69.127,66.796,67.947,2652800,0.0,0.0
2017-01-18,67.509,67.774,65.973,66.22,2457300,0.0,0.0
2017-01-19,66.037,66.21,64.848,64.912,2699800,0.0,0.0
2017-01-20,64.967,65.324,63.87,64.903,3997200,0.0,0.0
2017-01-23,64.784,64.903,64.017,64.41,2127600,0.0,0.0
2017-01-24,64.656,65.68,64.492,65.589,3279600,0.0,0.0
2017-01-25,65.781,66.274,65.305,65.781,3043900,0.0,0.0
2017-01-26,65.497,65.9,65.305,65.534,2236300,0.0,0.0
2017-01-27,65.909,66.0,64.09,64.273,2228000,0.0,0.0
2017-01-30,64.19,65.991,64.007,65.817,2314500,0.0,0.0
2017-01-31,65.159,67.582,65.059,67.481,4072300,0.0,0.0
2017-02-01,67.317,67.719,66.759,67.088,2607800,0.0,0.0
2017-02-02,67.271,67.81,66.933,67.189,1679400,0.0,0.0
2017-02-03,67.179,67.792,66.594,66.86,2435400,0.0,0.0
2017-02-06,66.329,66.768,66.0,66.055,2105100,0.0,0.0
2017-02-07,66.43,66.905,65.973,66.549,2055300,0.0,0.0
2017-02-08,66.814,68.679,66.457,68.624,2760900,0.0,0.0
2017-02-09,68.624,71.659,68.624,71.037,4862500,0.0,0.0
2017-02-10,71.083,71.32,69.693,70.196,2599900,0.0,0.0
2017-02-13,70.754,70.763,69.419,69.492,1825900,0.0,0.0
2017-02-14,69.492,70.918,69.309,70.516,4457700,0.0,0.0
2017-02-15,70.397,70.799,70.041,70.735,1654300,0.0,0.0
2017-02-16,70.955,71.028,68.98,69.492,1696600,0.0,0.0
2017-02-17,69.51,71.019,69.392,71.001,2518800,0.0,0.0
2017-02-21,71.604,72.536,70.644,71.174,2215500,0.0,0.0
2017-02-22,71.394,71.467,70.224,70.735,1318600,0.0,0.0
2017-02-23,71.055,71.055,69.227,69.401,1975800,0.0,0.0
2017-02-24,69.766,71.732,69.227,70.708,3866000,0.0,0.0
2017-02-27,70.671,70.69,68.971,70.196,2579500,0.0,0.0
2017-02-28,68.697,68.944,66.092,66.75,6952100,0.0,0.0
2017-03-01,68.331,68.916,66.32,67.051,5035900,0.0,0.0
2017-03-02,67.07,68.414,67.024,67.71,2428500,0.0,0.0
2017-03-03,67.17,67.609,66.494,66.841,3040000,0.0,0.0
2017-03-06,66.585,66.997,66.11,66.201,1889300,0.0,0.0
2017-03-07,66.019,66.631,65.178,65.232,2480200,0.0,0.0
2017-03-08,65.415,66.375,65.305,66.302,2305900,0.0,0.0
2017-03-09,66.366,67.454,66.21,67.307,3029600,0.0,0.0
2017-03-10,67.088,67.49,66.549,66.631,2538000,0.0,0.0
2017-03-13,66.229,66.567,65.379,66.357,3598500,0.0,0.0
2017-03-14,66.402,66.823,65.817,66.567,4304200,0.0,0.0
2017-03-15,66.348,66.814,65.589,66.558,4136400,0.0,0.0
