Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,40.627,40.778,40.014,40.123,4256700,0.0,0.0
2017-01-04,40.282,40.929,40.282,40.795,2988400,0.0,0.0
2017-01-05,40.661,40.946,40.383,40.627,1613400,0.0,0.0
2017-01-06,40.081,40.938,39.888,40.711,2930100,0.0,0.0
2017-01-09,40.56,40.778,40.392,40.392,1859800,0.0,0.0
2017-01-10,40.493,40.971,40.358,40.694,2486700,0.0,0.0
2017-01-11,40.635,41.047,40.493,40.761,2377900,0.0,0.0
2017-01-12,40.484,40.585,40.014,40.526,1882000,0.0,0.0
2017-01-13,40.719,41.098,40.577,40.61,1734300,0.0,0.0
2017-01-17,40.257,40.887,40.005,40.787,2751600,0.0,0.0
2017-01-18,40.971,41.745,40.4,41.509,4826200,0.0,0.0
2017-01-19,41.543,41.56,40.383,40.535,3474000,0.0,0.0
2017-01-20,40.661,40.938,40.434,40.593,2707500,0.0,0.0
2017-01-23,40.535,40.677,39.946,40.081,2369500,0.0,0.0
2017-01-24,40.249,40.509,40.165,40.249,2141900,0.0,0.0
2017-01-25,40.577,40.77,40.308,40.627,3711300,0.0,0.0
2017-01-26,40.745,40.938,40.577,40.812,2573800,0.0,0.0
2017-01-27,40.896,41.182,40.568,41.114,2015100,0.0,0.0
2017-01-30,40.736,41.148,40.669,41.14,3207700,0.0,0.0
2017-01-31,40.955,41.19,40.694,40.929,2427200,0.0,0.0
2017-02-01,41.156,41.257,40.551,40.703,2560000,0.0,0.0
2017-02-02,40.602,40.745,40.173,40.308,3136600,0.0,0.0
2017-02-03,40.333,40.694,39.316,39.77,6982100,0.0,0.0
2017-02-06,39.719,40.047,39.627,39.955,2457600,0.0,0.0
2017-02-07,40.182,40.282,39.728,39.787,2274300,0.0,0.0
2017-02-08,39.627,39.711,39.484,39.535,1648600,0.0,0.0
2017-02-09,39.535,39.972,39.535,39.946,2619100,0.0,0.0
2017-02-10,40.047,40.224,39.871,40.215,1985100,0.0,0.0
2017-02-13,40.4,40.694,40.249,40.375,2967400,0.0,0.0
2017-02-14,40.425,40.812,40.274,40.753,2540900,0.0,0.0
2017-02-15,40.761,40.913,40.459,40.837,3058400,0.0,0.0
2017-02-16,40.77,41.022,40.61,40.837,3004000,0.0,0.0
2017-02-17,40.711,40.862,40.425,40.635,3492800,0.0,0.0
2017-02-21,40.669,41.156,40.652,41.114,2598200,0.0,0.0
2017-02-22,40.98,41.047,40.703,40.913,2696100,0.0,0.0
2017-02-23,41.014,41.098,40.635,40.997,1993100,0.0,0.0
2017-02-24,40.703,40.971,40.627,40.854,1155800,0.0,0.0
2017-02-27,41.005,41.173,40.82,41.114,2317900,0.0,0.0
2017-02-28,40.913,41.274,40.896,41.081,2609600,0.0,0.0
2017-03-01,41.795,42.123,41.526,41.753,3378600,0.0,0.0
2017-03-02,41.989,42.209,41.348,41.382,1703900,0.23,0.0
2017-03-03,41.466,41.609,41.289,41.491,1940400,0.0,0.0
2017-03-06,41.246,41.441,41.17,41.187,1705800,0.0,0.0
2017-03-07,41.128,41.238,40.968,41.078,2019700,0.0,0.0
2017-03-08,41.331,41.474,40.934,40.943,2210900,0.0,0.0
2017-03-09,40.757,41.854,40.757,41.609,8601800,0.0,0.0
2017-03-10,41.694,42.006,41.466,41.972,2981000,0.0,0.0
2017-03-13,41.964,42.015,41.719,41.837,2338900,0.0,0.0
2017-03-14,41.728,42.091,41.576,41.998,2278500,0.0,0.0
2017-03-15,42.065,42.344,41.846,42.099,3535200,0.0,0.0
2017-03-16,42.395,42.428,41.103,41.204,4712000,0.0,0.0
2017-03-17,41.28,41.398,40.833,41.179,3606200,0.0,0.0
2017-03-20,41.179,41.246,40.731,40.74,2313200,0.0,0.0
2017-03-21,41.078,41.12,40.166,40.276,3912700,0.0,0.0
2017-03-22,40.056,40.504,39.718,40.352,3167600,0.0,0.0
2017-03-23,40.267,40.681,40.124,40.157,2210200,0.0,0.0
2017-03-24,40.191,40.368,39.82,39.955,2633800,0.0,0.0
2017-03-27,39.44,40.132,39.128,40.056,2303800,0.0,0.0
2017-03-28,39.921,40.47,39.904,40.259,1971700,0.0,0.0
2017-03-29,40.242,40.242,39.896,39.913,1748100,0.0,0.0
2017-03-30,39.913,40.369,39.828,40.36,2115100,0.0,0.0
2017-03-31,40.284,40.596,40.141,40.58,4264900,0.0,0.0
2017-04-03,40.512,40.689,40.157,40.63,4494000,0.0,0.0
2017-04-04,40.529,40.672,40.326,40.444,2105900,0.0,0.0
2017-04-05,40.656,40.909,40.309,40.318,3826600,0.0,0.0
2017-04-06,40.318,40.774,40.174,40.588,3126500,0.0,0.0
2017-04-07,40.377,40.605,40.217,40.377,2290400,0.0,0.0
2017-04-10,40.343,40.782,40.267,40.588,3121900,0.0,0.0
2017-04-11,40.487,40.706,40.36,40.698,2255900,0.0,0.0
2017-04-12,40.529,40.58,40.166,40.368,2641200,0.0,0.0
2017-04-13,40.242,40.58,40.098,40.293,2885500,0.0,0.0
2017-04-17,40.368,40.867,40.284,40.824,2379500,0.0,0.0
2017-04-18,40.596,40.698,40.107,40.259,1825900,0.0,0.0
2017-04-19,40.47,40.554,39.727,39.896,3265700,0.0,0.0
2017-04-20,40.065,40.36,39.651,40.208,3478600,0.0,0.0
2017-04-21,40.107,40.368,39.854,39.913,2368400,0.0,0.0
2017-04-24,40.419,40.52,39.972,39.98,7786600,0.0,0.0
2017-04-25,40.309,40.436,40.031,40.309,3392000,0.0,0.0
2017-04-26,40.385,41.12,40.293,40.613,3354300,0.0,0.0
2017-04-27,40.656,40.9,40.512,40.723,2909200,0.0,0.0
2017-04-28,40.698,41.069,39.415,40.824,4074700,0.0,0.0
2017-05-01,40.968,41.28,40.698,41.12,2242200,0.0,0.0
2017-05-02,41.078,41.474,41.044,41.17,2127000,0.0,0.0
2017-05-03,41.154,41.542,41.078,41.398,1683000,0.0,0.0
2017-05-04,41.643,41.896,41.466,41.669,2191100,0.0,0.0
2017-05-05,41.728,41.795,41.635,41.787,1618900,0.0,0.0
2017-05-08,41.77,41.871,41.601,41.677,1915700,0.0,0.0
2017-05-09,41.804,41.989,41.491,41.584,2646000,0.0,0.0
2017-05-10,41.5,42.124,41.449,41.998,2180400,0.0,0.0
2017-05-11,41.922,41.922,41.567,41.82,2143400,0.0,0.0
2017-05-12,41.559,41.618,41.365,41.432,2037900,0.0,0.0
2017-05-15,41.491,41.618,41.297,41.533,1774500,0.0,0.0
2017-05-16,41.626,41.778,41.339,41.601,1839100,0.0,0.0
2017-05-17,41.601,41.601,41.002,41.28,3198200,0.0,0.0
2017-05-18,41.12,41.407,41.069,41.103,2501200,0.0,0.0
2017-05-19,41.297,41.365,40.824,40.875,2267200,0.0,0.0
2017-05-22,41.061,41.457,40.968,41.196,1774800,0.0,0.0
2017-05-23,41.196,41.559,41.128,41.491,1474000,0.0,0.0
2017-05-24,41.5,41.685,41.441,41.559,1769800,0.0,0.0
2017-05-25,41.829,42.065,41.652,41.972,1723200,0.0,0.0
2017-05-26,41.896,41.896,41.39,41.559,2740300,0.0,0.0
2017-05-30,41.499,41.711,41.432,41.601,1330300,0.23,0.0
2017-05-31,41.61,41.983,41.491,41.89,2467900,0.0,0.0
2017-06-01,41.864,42.297,41.711,42.271,2303500,0.0,0.0
2017-06-02,42.119,42.271,41.949,42.102,1947500,0.0,0.0
2017-06-05,42.068,42.22,41.94,41.94,1600800,0.0,0.0
2017-06-06,42.093,42.22,41.559,42.051,3042400,0.0,0.0
2017-06-07,42.11,42.322,41.89,42.161,1835400,0.0,0.0
2017-06-08,42.161,43.068,42.127,43.018,3474900,0.0,0.0
2017-06-09,43.187,43.755,43.009,43.688,3057700,0.0,0.0
2017-06-12,43.628,43.84,43.314,43.357,2641300,0.0,0.0
2017-06-13,43.476,43.925,43.374,43.823,1852900,0.0,0.0
2017-06-14,43.764,44.061,43.586,43.976,1604200,0.0,0.0
2017-06-15,43.73,44.12,43.628,43.993,2413700,0.0,0.0
2017-06-16,43.908,44.451,43.832,44.451,4217400,0.0,0.0
2017-06-19,44.544,44.663,44.383,44.485,1699800,0.0,0.0
2017-06-20,44.366,44.519,44.29,44.298,1507100,0.0,0.0
2017-06-21,44.273,44.307,43.798,43.891,2106400,0.0,0.0
2017-06-22,43.764,43.993,43.603,43.764,1452300,0.0,0.0
2017-06-23,43.806,43.917,43.535,43.637,2143000,0.0,0.0
2017-06-26,43.883,44.256,43.781,44.12,2541700,0.0,0.0
2017-06-27,44.129,44.604,44.078,44.273,3101200,0.0,0.0
2017-06-28,44.476,44.799,44.332,44.722,2711500,0.0,0.0
2017-06-29,45.138,45.274,44.57,44.739,2890700,0.0,0.0
2017-06-30,44.926,45.019,44.341,44.587,2388600,0.0,0.0
2017-07-03,44.765,45.189,44.705,44.816,1240200,0.0,0.0
2017-07-05,44.917,44.994,44.57,44.705,2013900,0.0,0.0
2017-07-06,44.722,44.892,44.468,44.578,1851600,0.0,0.0
2017-07-07,44.638,44.883,44.485,44.722,1313900,0.0,0.0
2017-07-10,44.595,44.943,44.553,44.841,1524900,0.0,0.0
2017-07-11,44.858,44.968,44.536,44.739,1527700,0.0,0.0
2017-07-12,44.739,44.977,44.629,44.841,1537000,0.0,0.0
2017-07-13,44.892,45.257,44.883,45.189,1311000,0.0,0.0
2017-07-14,44.9,45.375,44.816,45.257,1739500,0.0,0.0
2017-07-17,45.223,45.511,45.096,45.443,1645400,0.0,0.0
2017-07-18,45.274,45.443,45.197,45.435,1195000,0.0,0.0
2017-07-19,45.426,45.723,45.333,45.706,1151700,0.0,0.0
2017-07-20,45.723,45.969,45.554,45.613,2254700,0.0,0.0
2017-07-21,45.554,45.783,45.443,45.621,1812300,0.0,0.0
2017-07-24,45.621,45.689,45.435,45.545,2001900,0.0,0.0
2017-07-25,45.961,45.969,45.638,45.749,2339400,0.0,0.0
2017-07-26,45.774,45.816,45.002,45.138,2459600,0.0,0.0
2017-07-27,45.138,45.291,44.688,44.883,3435100,0.0,0.0
2017-07-28,45.375,46.817,45.274,46.495,4663900,0.0,0.0
2017-07-31,46.809,46.894,46.546,46.648,2707600,0.0,0.0
2017-08-01,46.894,47.326,46.597,47.25,2816500,0.0,0.0
2017-08-02,47.199,47.521,46.944,47.182,2702100,0.0,0.0
2017-08-03,47.106,47.377,46.978,47.36,1772800,0.0,0.0
2017-08-04,47.589,47.979,47.504,47.742,1498100,0.0,0.0
2017-08-07,47.691,47.767,47.453,47.47,1588200,0.0,0.0
2017-08-08,47.436,48.005,47.411,47.538,1665800,0.0,0.0
2017-08-09,47.487,47.708,47.385,47.699,1777400,0.0,0.0
2017-08-10,47.428,47.555,47.182,47.267,1520300,0.0,0.0
2017-08-11,47.267,47.708,47.148,47.53,1789200,0.0,0.0
2017-08-14,47.818,48.064,47.776,47.877,1451900,0.0,0.0
2017-08-15,48.072,48.335,48.013,48.183,1943100,0.0,0.0
2017-08-16,48.276,48.48,47.92,47.928,1393000,0.0,0.0
2017-08-17,47.877,48.013,47.131,47.156,1484100,0.0,0.0
2017-08-18,47.012,47.173,46.656,47.123,4524500,0.0,0.0
2017-08-21,47.199,47.199,46.758,46.885,1445700,0.0,0.0
2017-08-22,46.978,47.182,46.927,47.123,1297900,0.0,0.0
2017-08-23,46.877,47.004,46.732,46.775,2066600,0.0,0.0
2017-08-24,46.885,46.961,46.317,46.334,1739000,0.0,0.0
2017-08-25,46.478,46.792,46.385,46.673,2063400,0.0,0.0
2017-08-28,46.385,46.571,45.452,46.215,2611400,0.0,0.0
2017-08-29,45.833,46.257,45.749,46.079,2049400,0.0,0.0
2017-08-30,46.096,46.556,45.688,46.292,1914900,0.23,0.0
2017-08-31,46.36,46.514,45.866,46.054,2141700,0.0,0.0
2017-09-01,46.113,46.403,45.935,46.037,1712800,0.0,0.0
2017-09-05,45.841,45.849,44.921,45.04,2302400,0.0,0.0
2017-09-06,45.057,45.262,44.665,44.947,2763400,0.0,0.0
2017-09-07,44.904,44.904,43.924,43.984,2721300,0.0,0.0
2017-09-08,43.66,45.321,43.609,45.287,3501800,0.0,0.0
