Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,10.693,10.822,10.596,10.697,13861841,0.0,0.0
2017-01-04,10.744,10.933,10.716,10.813,11969056,0.0,0.0
2017-01-05,10.813,10.873,10.757,10.863,19883103,0.0,0.0
2017-01-06,10.868,10.868,10.333,10.651,25019655,0.0,0.0
2017-01-09,10.67,10.69,10.379,10.402,24591408,0.0,0.0
2017-01-10,10.462,10.61,10.379,10.582,23212897,0.0,0.0
2017-01-11,10.568,10.596,10.425,10.495,15961609,0.0,0.0
2017-01-12,10.481,10.531,10.34,10.49,14234514,0.0,0.0
2017-01-13,10.49,10.628,10.485,10.578,9905248,0.0,0.0
2017-01-17,10.527,10.601,10.437,10.462,10155589,0.0,0.0
2017-01-18,10.499,10.601,10.416,10.541,14536128,0.0,0.0
2017-01-19,10.508,10.55,10.458,10.499,9976651,0.0,0.0
2017-01-20,10.508,10.559,10.439,10.55,15579301,0.0,0.0
2017-01-23,10.522,10.573,10.324,10.407,15614573,0.0,0.0
2017-01-24,10.472,10.647,10.449,10.555,14144701,0.0,0.0
2017-01-25,10.614,10.67,10.529,10.596,12553013,0.0,0.0
2017-01-26,10.587,10.647,10.43,10.43,10554758,0.0,0.0
2017-01-27,10.481,10.513,10.366,10.398,11716995,0.0,0.0
2017-01-30,10.37,10.37,10.14,10.213,16078951,0.0,0.0
2017-01-31,10.209,10.462,10.07,10.458,21481845,0.0,0.0
2017-02-01,10.481,10.504,10.315,10.416,16757711,0.0,0.0
2017-02-02,10.264,10.483,10.264,10.462,14275291,0.0,0.0
2017-02-03,10.49,10.873,10.49,10.836,23112761,0.0,0.0
2017-02-06,10.767,10.91,10.748,10.854,9451537,0.0,0.0
2017-02-07,10.854,10.972,10.845,10.923,11192397,0.0,0.0
2017-02-08,10.891,11.011,10.859,10.896,10469074,0.0,0.0
2017-02-09,10.896,11.122,10.863,11.103,12060590,0.0,0.0
2017-02-10,11.103,11.186,11.057,11.062,14299723,0.0,0.0
2017-02-13,11.076,11.172,11.048,11.122,11128048,0.0,0.0
2017-02-14,11.103,11.136,11.048,11.131,16786616,0.0,0.0
2017-02-15,11.168,11.269,11.108,11.242,11762417,0.0,0.0
2017-02-16,11.237,11.288,11.163,11.219,11783408,0.0,0.0
2017-02-17,11.182,11.26,11.126,11.251,13047673,0.0,0.0
2017-02-21,11.251,11.389,11.232,11.371,16285418,0.0,0.0
2017-02-22,11.315,11.472,11.297,11.426,13138519,0.0,0.0
2017-02-23,11.449,11.463,11.297,11.371,22893390,0.0,0.0
2017-02-24,10.202,10.596,10.19,10.587,80662819,0.0,0.0
2017-02-27,10.495,10.495,10.269,10.287,32712094,0.0,0.0
2017-02-28,10.176,10.548,10.144,10.522,31589602,0.0,0.0
2017-03-01,10.61,10.744,10.573,10.688,22835751,0.0,0.0
2017-03-02,10.661,10.702,10.532,10.582,18544338,0.0,0.0
2017-03-03,10.564,10.73,10.55,10.628,19903406,0.0,0.0
2017-03-06,10.536,10.665,10.527,10.638,26772730,0.0,0.0
