Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,18.039,18.482,17.943,18.472,4285200,0.0,0.0
2017-01-04,18.482,18.992,18.299,18.963,4434700,0.0,0.0
2017-01-05,18.963,19.445,18.867,19.348,5409500,0.0,0.0
2017-01-06,19.396,19.935,19.262,19.858,5535600,0.0,0.0
2017-01-09,19.82,19.858,19.531,19.627,4882200,0.0,0.0
2017-01-10,19.425,20.147,19.425,19.935,4311400,0.0,0.0
2017-01-11,19.955,20.311,19.878,20.311,4199300,0.0,0.0
2017-01-12,20.147,20.243,19.733,20.215,5548700,0.0,0.0
2017-01-13,20.157,20.436,20.109,20.34,4616200,0.0,0.0
2017-01-17,19.926,20.118,19.81,19.964,3044400,0.0,0.0
2017-01-18,19.955,20.176,19.858,20.099,2577400,0.0,0.0
2017-01-19,20.012,20.551,20.012,20.513,3684900,0.0,0.0
2017-01-20,20.503,20.831,20.349,20.494,5623400,0.0,0.0
2017-01-23,20.465,20.571,20.301,20.532,4182800,0.0,0.0
2017-01-24,20.677,21.562,20.619,21.341,8308800,0.0,0.0
2017-01-25,21.524,21.87,21.399,21.841,3802900,0.0,0.0
2017-01-26,21.707,22.024,21.476,22.005,3274100,0.0,0.0
2017-01-27,21.995,22.024,21.668,21.755,2702100,0.0,0.0
2017-01-30,21.774,21.812,21.331,21.658,3789000,0.0,0.0
2017-01-31,21.466,21.938,21.302,21.938,5661300,0.0,0.0
2017-02-01,22.459,24.611,22.285,24.399,16385400,0.06,0.0
2017-02-02,24.138,24.611,23.955,24.322,8086700,0.0,0.0
2017-02-03,24.293,25.016,24.293,24.997,5964100,0.0,0.0
2017-02-06,24.341,25.393,24.341,25.287,10249100,0.0,0.0
2017-02-07,25.287,25.789,25.161,25.692,7512700,0.0,0.0
2017-02-08,25.557,26.454,25.412,26.348,7665900,0.0,0.0
2017-02-09,26.348,27.159,26.204,26.985,9069200,0.0,0.0
2017-02-10,27.246,28.809,27.14,28.587,11540800,0.0,0.0
2017-02-13,28.443,28.829,28.037,28.616,10160800,0.0,0.0
2017-02-14,28.423,29.109,28.317,28.491,11884100,0.0,0.0
2017-02-15,28.317,28.491,28.066,28.192,5073900,0.0,0.0
2017-02-16,28.124,28.462,28.047,28.462,5046900,0.0,0.0
2017-02-17,28.337,29.031,28.23,28.867,4651500,0.0,0.0
2017-02-21,28.636,29.321,28.616,29.234,3882600,0.0,0.0
2017-02-22,28.838,29.495,28.838,29.485,4517000,0.0,0.0
2017-02-23,29.514,29.62,28.491,28.539,6950800,0.0,0.0
2017-02-24,27.979,28.501,27.738,28.298,4510000,0.0,0.0
2017-02-27,28.279,28.607,28.095,28.221,3067100,0.0,0.0
2017-02-28,28.086,28.356,27.642,27.786,4143200,0.0,0.0
2017-03-01,28.279,28.848,28.279,28.51,3618500,0.0,0.0
2017-03-02,28.221,28.433,27.526,27.545,2998200,0.0,0.0
2017-03-03,27.564,27.786,26.783,27.111,3623500,0.0,0.0
2017-03-06,27.034,27.053,26.599,26.734,3549700,0.0,0.0
2017-03-07,26.638,26.676,25.721,26.039,6261900,0.0,0.0
2017-03-08,26.03,26.242,25.721,25.914,4092500,0.0,0.0
2017-03-09,25.808,26.059,25.354,25.567,4030200,0.0,0.0
2017-03-10,25.663,25.982,25.509,25.895,3964500,0.0,0.0
2017-03-13,25.856,26.088,25.644,25.866,3176000,0.0,0.0
2017-03-14,25.653,25.827,25.528,25.74,1908600,0.0,0.0
2017-03-15,25.895,26.474,25.846,26.31,2273200,0.0,0.0
2017-03-16,26.426,26.59,26.039,26.368,2669600,0.0,0.0
2017-03-17,26.387,26.841,26.339,26.541,5994200,0.0,0.0
2017-03-20,26.58,27.198,26.445,26.898,3787300,0.0,0.0
2017-03-21,26.956,27.014,25.74,25.818,6408200,0.0,0.0
2017-03-22,25.76,26.126,25.499,25.576,3487700,0.0,0.0
2017-03-23,25.576,25.904,25.528,25.75,3998000,0.0,0.0
2017-03-24,25.75,25.953,25.451,25.75,2931200,0.0,0.0
2017-03-27,25.2,25.731,25.103,25.634,2822300,0.0,0.0
2017-03-28,25.528,26.175,25.528,26.097,2546100,0.0,0.0
2017-03-29,25.827,26.068,25.209,25.287,3226100,0.0,0.0
2017-03-30,25.2,25.653,25.123,25.634,2551100,0.0,0.0
2017-03-31,25.547,25.624,25.287,25.422,2514400,0.0,0.0
2017-04-03,25.557,25.769,24.968,25.267,2345400,0.0,0.0
2017-04-04,25.238,25.557,25.171,25.46,5288700,0.0,0.0
2017-04-05,25.624,25.914,24.949,24.987,3734700,0.0,0.0
2017-04-06,24.93,25.325,24.881,25.248,1586300,0.0,0.0
2017-04-07,25.094,25.576,25.094,25.489,1812500,0.0,0.0
2017-04-10,25.489,25.904,25.489,25.605,2615100,0.0,0.0
2017-04-11,25.615,25.904,25.152,25.663,3216100,0.0,0.0
2017-04-12,25.576,25.576,24.814,24.949,5437000,0.0,0.0
2017-04-13,24.92,25.084,24.785,24.997,4642100,0.0,0.0
2017-04-17,26.3,27.449,25.576,25.76,12633700,0.0,0.0
2017-04-18,25.393,25.393,23.742,24.901,9245600,0.0,0.0
2017-04-19,24.92,25.557,24.92,25.065,5108800,0.0,0.0
2017-04-20,25.277,25.402,25.152,25.2,2307500,0.0,0.0
2017-04-21,25.238,25.296,25.065,25.094,2978200,0.0,0.0
2017-04-24,25.441,25.624,25.065,25.19,4577400,0.0,0.0
2017-04-25,25.383,26.059,25.316,26.039,4984000,0.0,0.0
2017-04-26,26.107,27.014,26.078,26.541,5708900,0.0,0.0
2017-04-27,26.503,26.541,25.962,26.271,3641500,0.0,0.0
2017-04-28,26.377,26.532,26.233,26.377,4363000,0.0,0.0
2017-05-01,26.474,26.57,25.943,26.3,3226600,0.0,0.0
2017-05-02,26.049,26.445,26.049,26.204,3293400,0.0,0.0
2017-05-03,26.097,26.097,25.662,25.904,2573500,0.06,0.0
2017-05-04,25.807,25.894,25.391,25.749,2945600,0.0,0.0
2017-05-05,25.759,26.407,25.672,26.407,2371200,0.0,0.0
2017-05-08,26.32,26.397,26.116,26.194,1863300,0.0,0.0
2017-05-09,26.213,26.494,26.126,26.368,2110100,0.0,0.0
2017-05-10,26.271,26.455,26.233,26.387,1996500,0.0,0.0
2017-05-11,26.262,26.368,26.0,26.32,1891700,0.0,0.0
2017-05-12,26.242,26.861,26.165,26.794,2852300,0.0,0.0
2017-05-15,26.861,27.374,26.861,27.181,2974800,0.0,0.0
2017-05-16,27.181,27.268,26.513,26.513,2427400,0.0,0.0
2017-05-17,26.513,26.513,25.894,25.962,3387300,0.0,0.0
2017-05-18,25.817,26.165,25.681,26.039,1928900,0.0,0.0
2017-05-19,26.204,26.881,26.126,26.678,2011400,0.0,0.0
2017-05-22,26.89,27.713,26.648,26.726,2692400,0.0,0.0
2017-05-23,26.765,27.113,26.523,26.958,1982000,0.0,0.0
2017-05-24,27.035,27.268,26.91,27.161,1976100,0.0,0.0
2017-05-25,27.19,27.297,26.194,26.32,2997700,0.0,0.0
2017-05-26,26.32,26.658,26.213,26.523,2191200,0.0,0.0
2017-05-30,26.552,26.561,26.087,26.329,4116100,0.0,0.0
2017-05-31,26.3,26.61,25.846,26.571,8096800,0.0,0.0
2017-06-01,26.561,27.142,26.397,27.055,5646000,0.0,0.0
2017-06-02,27.132,27.384,26.987,27.239,2423800,0.0,0.0
2017-06-05,27.21,27.335,26.561,26.571,2576000,0.0,0.0
2017-06-06,26.407,26.716,26.155,26.571,1825400,0.0,0.0
2017-06-07,26.726,26.726,25.952,26.02,2855900,0.0,0.0
2017-06-08,26.02,26.668,25.865,26.552,1619900,0.0,0.0
2017-06-09,26.6,26.784,26.291,26.465,1983100,0.0,0.0
2017-06-12,26.204,26.571,25.942,25.942,2091700,0.0,0.0
2017-06-13,25.971,26.765,25.942,26.755,2242700,0.0,0.0
2017-06-14,26.745,26.745,25.933,26.02,2088500,0.0,0.0
2017-06-15,25.739,26.039,25.575,25.826,2881800,0.0,0.0
2017-06-16,25.875,25.942,25.227,25.565,3239800,0.0,0.0
2017-06-19,25.691,25.807,25.497,25.739,2468900,0.0,0.0
2017-06-20,25.604,25.701,25.381,25.546,1404900,0.0,0.0
2017-06-21,25.555,25.575,24.433,24.491,3174000,0.0,0.0
